API Name,API Endpoint,API URL(s),Request Packet(s),Response Packets,Intent
UPI Payment API,/v1/payments/upi,"https://sandbox.api.bank.com/v1/payments/upi, https://api.bank.com/v1/payments/upi","{""payerVPA"":""test@upi"",""payeeVPA"":""merchant@upi"",""amount"":""500.00"",""txnNote"":""Order#1234""}, {""payerVPA"":""test@upi"",""payeeVPA"":""merchant@upi"",""amount"":""1000.00"",""txnNote"":""Subscription""}","{""status"":""SUCCESS"",""txnId"":""UPI123456"",""approvalRef"":""123456""}, {""status"":""FAILED"",""reason"":""Insufficient Balance""}",Payment
NEFT Payment API,/v1/payments/neft,"https://sandbox.api.bank.com/v1/payments/neft, https://api.bank.com/v1/payments/neft","{""fromAccount"":""1234567890"",""toAccount"":""9876543210"",""ifsc"":""SBIN0001234"",""amount"":""25000.00"",""txnNote"":""Invoice Payment""}, {""fromAccount"":""1234567890"",""toAccount"":""9876543210"",""ifsc"":""SBIN0001234"",""amount"":""50000.00"",""txnNote"":""Loan Repayment""}","{""status"":""PENDING"",""txnId"":""NEFT987654321"",""expectedSettlement"":""2025-08-12T17:00:00""}, {""status"":""FAILED"",""reason"":""Invalid IFSC Code""}",Payment
IMPS Payment API,/v1/payments/imps,"https://sandbox.api.bank.com/v1/payments/imps, https://api.bank.com/v1/payments/imps","{""mobile"":""9876543210"",""mmid"":""1234567"",""amount"":""1500.00"",""txnNote"":""Bill Payment""}, {""mobile"":""9876543210"",""mmid"":""1234567"",""amount"":""3000.00"",""txnNote"":""Rent Payment""}","{""status"":""SUCCESS"",""txnId"":""IMPS654321987"",""approvalRef"":""789654""}, {""status"":""FAILED"",""reason"":""Invalid MMID""}",Payment
RTGS Payment API,/v1/payments/rtgs,"https://sandbox.api.bank.com/v1/payments/rtgs, https://api.bank.com/v1/payments/rtgs","{""fromAccount"":""1234567890"",""toAccount"":""9876543210"",""ifsc"":""HDFC0004567"",""amount"":""200000.00"",""txnNote"":""Corporate Transfer""}, {""fromAccount"":""1234567890"",""toAccount"":""9876543210"",""ifsc"":""HDFC0004567"",""amount"":""500000.00"",""txnNote"":""Vendor Payment""}","{""status"":""PENDING"",""txnId"":""RTGS789456123"",""expectedSettlement"":""2025-08-12T14:00:00""}, {""status"":""FAILED"",""reason"":""Amount Exceeds Limit""}",Payment
Refund API,/v1/payments/refund,"https://sandbox.api.bank.com/v1/payments/refund, https://api.bank.com/v1/payments/refund","{""originalTxnId"":""UPI123456789"",""amount"":""500.00"",""reason"":""Order Cancellation""}, {""originalTxnId"":""NEFT987654321"",""amount"":""25000.00"",""reason"":""Overpayment""}","{""status"":""SUCCESS"",""refundTxnId"":""RF123456789"",""processedAt"":""2025-08-12T10:45:00""}, {""status"":""FAILED"",""reason"":""Original Transaction Not Found""}",Payment
Payout API,/v1/payments/payout,"https://sandbox.api.bank.com/v1/payments/payout, https://api.bank.com/v1/payments/payout","{""beneficiaryAccount"":""9876543210"",""ifsc"":""ICIC0007890"",""amount"":""7500.00"",""mode"":""IMPS"",""remark"":""Salary""}, {""beneficiaryAccount"":""9876543210"",""ifsc"":""ICIC0007890"",""amount"":""15000.00"",""mode"":""NEFT"",""remark"":""Bonus""}","{""status"":""SUCCESS"",""txnId"":""PO123456789"",""approvalRef"":""654321""}, {""status"":""FAILED"",""reason"":""Invalid Beneficiary Account""}",Payment
Account Block API,/v1/block/account,"https://sandbox.bank.com/v1/block/account, https://api.bank.com/v1/block/account","{""accountNumber"":""1234567890"",""reason"":""Fraud Suspected"",""requestedBy"":""ops_user""} ,{""accountNumber"":""9876543210"",""reason"":""Customer Request"",""requestedBy"":""customer_portal""}","{""status"":""SUCCESS"",""blockedAt"":""2025-08-12T11:00:00"",""blockId"":""BLK-ACC-1001""},{""status"":""FAILED"",""reason"":""Account Not Found""}",Block
Card Block API,/v1/block/card,"https://sandbox.bank.com/v1/block/card, https://api.bank.com/v1/block/card","{""cardNumber"":""4111111111111111"",""cardType"":""DEBIT"",""reason"":""Lost Card"",""requestedBy"":""customer_app""},{""cardNumber"":""5500000000000004"",""cardType"":""CREDIT"",""reason"":""Stolen"",""requestedBy"":""branch""}","{""status"":""SUCCESS"",""blockedAt"":""2025-08-12T11:05:00"",""blockId"":""BLK-CARD-2001""},{""status"":""FAILED"",""reason"":""Card Already Blocked""}",Block
Beneficiary Block API,/v1/block/beneficiary,"https://sandbox.bank.com/v1/block/beneficiary, https://api.bank.com/v1/block/beneficiary","{""beneficiaryAccount"":""9876543210"",""ifsc"":""SBIN0001234"",""reason"":""Suspect Beneficiary"",""requestedBy"":""ops_team""},{""beneficiaryAccount"":""8765432109"",""ifsc"":""HDFC0005678"",""reason"":""Customer Request"",""requestedBy"":""customer""}","{""status"":""SUCCESS"",""blockedAt"":""2025-08-12T11:10:00"",""blockId"":""BLK-BEN-3001""},{""status"":""FAILED"",""reason"":""Beneficiary Not Found""}",Block
Wallet Block API,/v1/block/wallet,"https://sandbox.bank.com/v1/block/wallet, https://api.bank.com/v1/block/wallet","{""walletId"":""WALLET-1234"",""reason"":""Fraud"",""requestedBy"":""fraud_team""},{""walletId"":""WALLET-5678"",""reason"":""Customer Request"",""requestedBy"":""customer_support""}","{""status"":""SUCCESS"",""blockedAt"":""2025-08-12T11:12:00"",""blockId"":""BLK-WAL-4001""},{""status"":""FAILED"",""reason"":""Wallet Not Active""}",Block
